;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2
00009176V;CkZ30OssZW;Ambrosi O'Cullinane;3 Linden Point;43;0
00025379L;zt74AqLwq;Micky Ratnage;35063 Johnson Lane;38;-2
00031068A;437QXN3r;Delmore Tierny;15490 Warrior Road;37;-1
00043748D;2qAEYCrt;Natale McIlheran;521 Ridge Oak Lane;36;-6
00060027Z;VyJPcdoJiKj;Ondrea Laye;16 Michigan Alley;41;1
00062162Q;ZbuaDz2R;Cynde Youdell;22225 Declaration Hill;41;-0
00063537P;3ysjJXGDgK;Jaclyn Butt;9 Lakewood Gardens Center;37;1
00073346K;yCxBsE3cv67;Mil Maseyk;21 Buhler Place;38;2
00074314U;E3PVq4uCHfD;Niall Uff;99092 Rieder Avenue;38;-7
00090652E;xzTm34GKizIR;Neddy Lyptrade;50055 Spaight Parkway;38;0
00106545U;KmDTi11bfMv;Odelle Karpychev;68 Golf Course Crossing;41;-8
00115195P;J8pnCRumS;Trenna Arsnell;0022 Reinke Drive;36;-4
00124838L;gMiC2H915G;Natividad Trunkfield;19 Cherokee Junction;42;-3
00152427R;Q2NrqoeJe9;Audre Beavington;9 Jackson Pass;39;-6
00159999M;MH4RIN97odf;Gabey Shrawley;3 Spohn Place;43;-5
00184131C;O7HhKHc;Terry Gapper;2967 Bartillon Park;39;-4
00202897M;5aOol9NBg;Ondrea Argyle;5 Westerfield Lane;42;-6
00204857U;rggV5xfzo;Lyndsey Astbery;7564 Morningstar Hill;41;2
00208486Y;dgnwGVQ;Scarface FitzGilbert;82 Helena Court;41;-6
00217810T;RYRdtiC;Amelia Nock;52 Stang Way;39;-6
00234130R;ZPrhKLpAu;Goober Wason;5 Towne Way;42;-5
00250106L;vyI7fXjz;Westbrook Brazear;3269 Northwestern Crossing;40;-6
00265915G;37Xk9awNEf;Emera Twidale;983 Esch Trail;37;-0
00271458B;k22msxppGeM6;Sammie Pedycan;28 Montana Junction;38;-4
00271854R;OOsKWk;Eileen Saker;65366 Hoffman Crossing;40;1
00285485D;ERMMwz;Mikey Sapsed;95775 John Wall Point;42;2
00286151B;V0FHNQ8DF6k;Anica Waren;62 Dixon Place;38;-4
